MedIncome,MedHouseValue
"75655.00","500001.00"
"75674.00","500001.00"
"75695.00","320400.00"
"75696.00","328700.00"
"75699.00","333300.00"
"75744.00","259300.00"
"75752.00","67500.00"
"75755.00","402300.00"
"75791.00","288100.00"
"75794.00","500001.00"
"75813.00","374100.00"
"75822.00","283100.00"
"75839.00","426900.00"
"75845.00","279300.00"
"75847.00","375700.00"
"75850.00","380100.00"
"75898.00","330200.00"
"75925.00","466700.00"
"75953.00","434800.00"
"75975.00","369100.00"
"75980.00","347800.00"
"75992.00","310600.00"
"76012.00","310800.00"
"76016.00","344900.00"
"76059.00","323700.00"
"76084.00","402500.00"
"76091.00","438500.00"
"76107.00","423200.00"
"76110.00","350700.00"
"76129.00","412500.00"
"76144.00","376200.00"
"76166.00","260400.00"
"76180.00","341400.00"
"76202.00","402600.00"
"76229.00","500001.00"
"76245.00","336600.00"
"76281.00","341700.00"
"76286.00","330400.00"
"76290.00","500001.00"
"76344.00","290500.00"
"76348.00","337000.00"
"76420.00","374900.00"
"76447.00","500001.00"
"76473.00","345800.00"
"76486.00","306700.00"
"76518.00","359300.00"
"76520.00","500001.00"
"76526.00","481300.00"
"76632.00","204800.00"
"76659.00","426900.00"
"76685.00","474300.00"
"76709.00","319500.00"
"76717.00","416500.00"
"76720.00","467600.00"
"76740.00","329300.00"
"76771.00","500001.00"
"76775.00","391200.00"
"76832.00","319800.00"
"76864.00","422500.00"
"76877.00","367700.00"
"76886.00","500001.00"
"76889.00","229300.00"
"76917.00","401800.00"
"76923.00","329800.00"
"76933.00","405900.00"
"76986.00","500001.00"
"77006.00","316700.00"
"77042.00","500001.00"
"77062.00","188300.00"
"77068.00","500001.00"
"77072.00","443800.00"
"77108.00","450000.00"
"77112.00","386700.00"
"77116.00","360900.00"
"77197.00","500001.00"
"77201.00","362700.00"
"77230.00","500001.00"
"77234.00","304100.00"
"77261.00","500001.00"
"77307.00","429000.00"
"77313.00","316700.00"
"77317.00","396000.00"
"77320.00","173200.00"
"77360.00","397700.00"
"77364.00","435800.00"
"77382.00","500001.00"
"77450.00","237400.00"
"77464.00","474600.00"
"77499.00","334800.00"
"77500.00","375000.00"
"77517.00","500001.00"
"77569.00","387400.00"
"77572.00","500001.00"
"77589.00","342900.00"
"77643.00","474700.00"
"77684.00","362300.00"
"77736.00","378100.00"
"77738.00","387500.00"
"77743.00","453100.00"
"77751.00","194100.00"
"77752.00","380000.00"
"77773.00","456300.00"
"77785.00","404700.00"
"77799.00","447300.00"
"77814.00","288700.00"
"77846.00","409000.00"
"77848.00","500001.00"
"77852.00","250000.00"
"77854.00","395300.00"
"77865.00","423900.00"
"77876.00","348900.00"
"77889.00","309900.00"
"77900.00","500001.00"
"77932.00","469900.00"
"78005.00","318100.00"
"78013.00","474000.00"
"78031.00","267200.00"
"78061.00","331400.00"
"78118.00","244200.00"
"78139.00","304700.00"
"78164.00","500001.00"
"78177.00","500001.00"
"78193.00","379600.00"
"78195.00","390500.00"
"78239.00","500001.00"
"78252.00","361400.00"
"78279.00","500001.00"
"78287.00","369200.00"
"78336.00","371300.00"
"78347.00","500001.00"
"78375.00","500001.00"
"78383.00","500001.00"
"78392.00","500001.00"
"78407.00","476400.00"
"78426.00","500001.00"
"78453.00","343300.00"
"78476.00","500001.00"
"78496.00","490800.00"
"78521.00","500001.00"
"78528.00","368900.00"
"78532.00","422800.00"
"78537.00","354900.00"
"78543.00","281900.00"
"78575.00","424600.00"
"78588.00","454800.00"
"78601.00","416300.00"
"78627.00","500001.00"
"78633.00","500001.00"
"78647.00","500001.00"
"78660.00","500001.00"
"78705.00","500001.00"
"78711.00","500001.00"
"78750.00","351900.00"
"78772.00","500001.00"
"78774.00","394900.00"
"78864.00","357300.00"
"78904.00","468800.00"
"78915.00","420600.00"
"78924.00","500001.00"
"78980.00","258200.00"
"78997.00","500001.00"
"79013.00","393000.00"
"79029.00","500001.00"
"79059.00","477100.00"
"79068.00","349100.00"
"79096.00","500001.00"
"79120.00","367300.00"
"79125.00","344900.00"
"79135.00","496400.00"
"79160.00","330600.00"
"79168.00","356000.00"
"79184.00","500001.00"
"79187.00","333600.00"
"79213.00","477800.00"
"79217.00","296200.00"
"79234.00","500001.00"
"79248.00","500001.00"
"79283.00","348100.00"
"79294.00","280300.00"
"79338.00","354700.00"
"79367.00","500001.00"
"79393.00","399300.00"
"79556.00","374400.00"
"79606.00","453400.00"
"79611.00","500001.00"
"79614.00","500001.00"
"79625.00","490800.00"
"79627.00","345400.00"
"79739.00","368700.00"
"79761.00","500001.00"
"79767.00","500001.00"
"79780.00","223900.00"
"79794.00","426100.00"
"79813.00","473500.00"
"79814.00","409900.00"
"79819.00","397000.00"
"79835.00","500001.00"
"79885.00","403300.00"
"79887.00","328000.00"
"79892.00","500001.00"
"79943.00","452100.00"
"79976.00","500001.00"
"79977.00","400000.00"
"80000.00","275000.00"
"80015.00","500001.00"
"80030.00","351300.00"
"80069.00","426800.00"
"80073.00","500001.00"
"80074.00","454100.00"
"80082.00","286600.00"
"80095.00","500001.00"
"80103.00","395500.00"
"80113.00","393000.00"
"80137.00","399200.00"
"80144.00","500001.00"
"80158.00","420000.00"
"80239.00","500001.00"
"80257.00","500001.00"
"80287.00","371800.00"
"80331.00","500001.00"
"80379.00","383300.00"
"80390.00","382200.00"
"80409.00","337900.00"
"80428.00","500001.00"
"80448.00","433300.00"
"80499.00","495600.00"
"80500.00","380000.00"
"80510.00","363600.00"
"80580.00","477300.00"
"80595.00","485000.00"
"80599.00","381800.00"
"80639.00","500001.00"
"80683.00","451500.00"
"80727.00","455500.00"
"80755.00","500001.00"
"80784.00","320300.00"
"80837.00","380600.00"
"80838.00","500001.00"
"80839.00","372000.00"
"80922.00","390100.00"
"80930.00","379600.00"
"80957.00","500001.00"
"81001.00","336500.00"
"81039.00","382200.00"
"81050.00","386200.00"
"81064.00","500001.00"
"81078.00","365700.00"
"81093.00","410400.00"
"81110.00","308900.00"
"81111.00","379800.00"
"81117.00","410200.00"
"81124.00","500001.00"
"81125.00","428600.00"
"81132.00","446600.00"
"81163.00","365800.00"
"81189.00","500001.00"
"81194.00","471600.00"
"81221.00","483300.00"
"81248.00","374000.00"
"81325.00","472700.00"
"81344.00","359000.00"
"81356.00","352800.00"
"81397.00","353900.00"
"81484.00","500001.00"
"81489.00","499000.00"
"81513.00","500001.00"
"81530.00","500001.00"
"81548.00","500001.00"
"81550.00","343700.00"
"81564.00","390100.00"
"81586.00","404300.00"
"81596.00","500001.00"
"81611.00","348000.00"
"81630.00","250000.00"
"81631.00","500001.00"
"81657.00","500001.00"
"81714.00","500001.00"
"81760.00","308400.00"
"81782.00","500001.00"
"81839.00","367000.00"
"81844.00","406300.00"
"81871.00","500001.00"
"81872.00","466100.00"
"81888.00","500001.00"
"81900.00","361600.00"
"81926.00","326600.00"
"81988.00","355900.00"
"82004.00","500001.00"
"82030.00","445400.00"
"82037.00","500001.00"
"82049.00","335200.00"
"82064.00","500001.00"
"82069.00","442500.00"
"82159.00","376200.00"
"82266.00","500001.00"
"82269.00","500001.00"
"82335.00","430200.00"
"82364.00","371800.00"
"82374.00","500001.00"
"82375.00","388300.00"
"82405.00","235200.00"
"82435.00","500001.00"
"82436.00","500001.00"
"82480.00","498800.00"
"82531.00","419200.00"
"82598.00","500001.00"
"82653.00","374000.00"
"82664.00","500001.00"
"82673.00","358700.00"
"82737.00","193500.00"
"82782.00","500001.00"
"82787.00","330000.00"
"82816.00","500001.00"
"82827.00","451400.00"
"82831.00","500001.00"
"82840.00","302500.00"
"82883.00","500001.00"
"82890.00","372400.00"
"82934.00","500001.00"
"82953.00","350500.00"
"82954.00","500001.00"
"82961.00","500001.00"
"83014.00","358500.00"
"83065.00","394200.00"
"83170.00","365900.00"
"83188.00","403400.00"
"83209.00","485400.00"
"83252.00","452600.00"
"83275.00","384200.00"
"83337.00","500001.00"
"83380.00","405800.00"
"83474.00","500001.00"
"83605.00","500001.00"
"83608.00","187300.00"
"83609.00","500001.00"
"83617.00","433800.00"
"83634.00","355100.00"
"83637.00","500001.00"
"83646.00","397300.00"
"83678.00","455300.00"
"83695.00","500001.00"
"83792.00","418300.00"
"83818.00","377600.00"
"83837.00","473400.00"
"83839.00","500001.00"
"83841.00","472200.00"
"83912.00","419000.00"
"83924.00","500001.00"
"83931.00","365300.00"
"83935.00","470500.00"
"83956.00","353600.00"
"83996.00","442900.00"
"84010.00","351200.00"
"84016.00","338700.00"
"84045.00","451100.00"
"84112.00","286900.00"
"84196.00","450700.00"
"84262.00","459200.00"
"84284.00","378300.00"
"84331.00","500001.00"
"84352.00","441400.00"
"84355.00","467600.00"
"84375.00","500001.00"
"84389.00","500001.00"
"84411.00","500001.00"
"84438.00","390000.00"
"84443.00","358500.00"
"84471.00","351300.00"
"84476.00","500001.00"
"84546.00","500001.00"
"84614.00","391900.00"
"84680.00","472100.00"
"84693.00","419200.00"
"84699.00","344000.00"
"84704.00","500001.00"
"84709.00","500001.00"
"84721.00","342300.00"
"84802.00","500001.00"
"84839.00","406700.00"
"84882.00","276600.00"
"84888.00","500001.00"
"84889.00","500001.00"
"84920.00","500001.00"
"84952.00","359600.00"
"84960.00","500001.00"
"85136.00","500001.00"
"85153.00","500001.00"
"85184.00","500001.00"
"85282.00","360100.00"
"85294.00","500001.00"
"85325.00","224100.00"
"85326.00","315200.00"
"85403.00","451300.00"
"85407.00","398800.00"
"85421.00","500001.00"
"85425.00","500001.00"
"85491.00","410300.00"
"85574.00","392200.00"
"85608.00","500001.00"
"85621.00","347800.00"
"85650.00","500001.00"
"85677.00","500001.00"
"85759.00","500001.00"
"85830.00","397700.00"
"85842.00","500001.00"
"85888.00","500001.00"
"85938.00","500001.00"
"85957.00","444100.00"
"86001.00","500001.00"
"86030.00","459600.00"
"86088.00","307400.00"
"86123.00","386700.00"
"86155.00","411200.00"
"86196.00","500001.00"
"86340.00","463500.00"
"86454.00","483500.00"
"86499.00","500001.00"
"86572.00","320200.00"
"86573.00","354000.00"
"86675.00","441000.00"
"86677.00","332700.00"
"86718.00","439100.00"
"86803.00","347300.00"
"86963.00","500001.00"
"87015.00","390900.00"
"87051.00","500001.00"
"87059.00","329400.00"
"87124.00","410500.00"
"87172.00","500001.00"
"87200.00","415900.00"
"87288.00","425800.00"
"87350.00","375300.00"
"87364.00","500001.00"
"87382.00","500001.00"
"87385.00","340000.00"
"87394.00","500001.00"
"87397.00","500001.00"
"87471.00","419900.00"
"87477.00","500001.00"
"87496.00","349500.00"
"87580.00","500001.00"
"87589.00","434500.00"
"87591.00","434700.00"
"87603.00","362500.00"
"87604.00","331800.00"
"87657.00","366300.00"
"87716.00","229200.00"
"87783.00","435000.00"
"87819.00","500001.00"
"87835.00","444100.00"
"87939.00","500001.00"
"87974.00","360600.00"
"87980.00","436600.00"
"87991.00","478500.00"
"88062.00","500001.00"
"88115.00","500001.00"
"88178.00","500001.00"
"88204.00","390500.00"
"88281.00","461600.00"
"88342.00","430500.00"
"88386.00","500001.00"
"88467.00","450700.00"
"88470.00","388700.00"
"88612.00","500001.00"
"88619.00","500001.00"
"88636.00","314000.00"
"88666.00","500001.00"
"88693.00","450400.00"
"88742.00","500001.00"
"88793.00","410300.00"
"89021.00","500001.00"
"89063.00","500001.00"
"89083.00","500001.00"
"89088.00","415300.00"
"89172.00","500001.00"
"89248.00","500001.00"
"89257.00","431800.00"
"89440.00","500001.00"
"89565.00","500001.00"
"89571.00","399700.00"
"89616.00","500001.00"
"89669.00","213900.00"
"89728.00","500001.00"
"89955.00","500001.00"
"90055.00","375400.00"
"90064.00","500001.00"
"90243.00","427700.00"
"90267.00","500001.00"
"90376.00","239100.00"
"90420.00","500001.00"
"90519.00","500001.00"
"90683.00","367400.00"
"90702.00","500001.00"
"90704.00","500001.00"
"90776.00","450400.00"
"90800.00","500001.00"
"90812.00","500001.00"
"91078.00","500001.00"
"91228.00","500001.00"
"91232.00","472000.00"
"91373.00","500001.00"
"91415.00","500001.00"
"91508.00","500001.00"
"91531.00","418800.00"
"91541.00","453800.00"
"91569.00","500001.00"
"91808.00","413700.00"
"91834.00","500001.00"
"91881.00","500001.00"
"91974.00","500001.00"
"92175.00","500001.00"
"92189.00","500001.00"
"92225.00","500001.00"
"92298.00","500001.00"
"92327.00","461300.00"
"92463.00","500001.00"
"92670.00","500001.00"
"92720.00","500001.00"
"92810.00","500001.00"
"92858.00","436100.00"
"92873.00","431800.00"
"93092.00","500001.00"
"93125.00","293500.00"
"93198.00","500001.00"
"93370.00","500001.00"
"93399.00","500001.00"
"93464.00","500001.00"
"93586.00","500001.00"
"93603.00","500001.00"
"93694.00","500001.00"
"93834.00","500001.00"
"93845.00","500001.00"
"93959.00","500001.00"
"94356.00","465600.00"
"94522.00","500001.00"
"94590.00","500001.00"
"94664.00","500001.00"
"94667.00","500001.00"
"94987.00","500001.00"
"95221.00","500001.00"
"95245.00","500001.00"
"95268.00","437900.00"
"95271.00","500001.00"
"95320.00","483300.00"
"95551.00","500001.00"
"95561.00","411800.00"
"95823.00","406200.00"
"95862.00","469400.00"
"95908.00","350000.00"
"96023.00","391300.00"
"96047.00","500001.00"
"96062.00","414700.00"
"96465.00","500001.00"
"96885.00","500001.00"
"96986.00","357600.00"
"97037.00","425100.00"
"97066.00","182500.00"
"97194.00","500001.00"
"97449.00","500001.00"
"97646.00","500001.00"
"97796.00","500001.00"
"97821.00","500001.00"
"97912.00","500001.00"
"97956.00","500001.00"
"98020.00","500001.00"
"98074.00","417000.00"
"98091.00","500001.00"
"98098.00","500001.00"
"98144.00","500001.00"
"98177.00","500001.00"
"98210.00","500001.00"
"98214.00","500001.00"
"98321.00","500001.00"
"98346.00","401700.00"
"98413.00","500001.00"
"98589.00","500001.00"
"98708.00","500001.00"
"98892.00","500001.00"
"98937.00","500001.00"
"99025.00","500001.00"
"99055.00","456900.00"
"99071.00","500001.00"
"100000.00","500001.00"
"100088.00","242000.00"
"100187.00","500001.00"
"100259.00","500001.00"
"100263.00","200000.00"
"100285.00","500001.00"
"100346.00","500001.00"
"100472.00","500001.00"
"100481.00","500001.00"
"100549.00","500001.00"
"100595.00","500001.00"
"100600.00","500001.00"
"100707.00","500001.00"
"100743.00","500001.00"
"100757.00","383900.00"
"100760.00","500001.00"
"100765.00","378200.00"
"100791.00","500001.00"
"100825.00","397000.00"
"100914.00","500001.00"
"100968.00","500001.00"
"100973.00","500001.00"
"101007.00","500001.00"
"101122.00","500001.00"
"101154.00","477700.00"
"101241.00","500001.00"
"101248.00","428500.00"
"101275.00","500001.00"
"101290.00","500001.00"
"101299.00","454300.00"
"101316.00","500001.00"
"101357.00","500001.00"
"101447.00","500001.00"
"101454.00","500001.00"
"101531.00","484100.00"
"101560.00","500001.00"
"101570.00","477100.00"
"101597.00","500001.00"
"101675.00","500001.00"
"101714.00","481500.00"
"101768.00","500001.00"
"101854.00","426000.00"
"101882.00","500001.00"
"101989.00","500001.00"
"102233.00","500001.00"
"102252.00","462800.00"
"102264.00","112500.00"
"102289.00","500001.00"
"102292.00","500001.00"
"102311.00","500001.00"
"102317.00","500001.00"
"102614.00","410800.00"
"102666.00","500001.00"
"102811.00","500001.00"
"102849.00","500001.00"
"102948.00","382400.00"
"103048.00","500001.00"
"103203.00","400000.00"
"103224.00","500001.00"
"103329.00","500001.00"
"103345.00","461400.00"
"103354.00","477600.00"
"103416.00","500001.00"
"103467.00","500001.00"
"103587.00","500001.00"
"103591.00","500001.00"
"103599.00","500001.00"
"103653.00","500001.00"
"103661.00","500001.00"
"103682.00","500001.00"
"103713.00","426100.00"
"103798.00","500001.00"
"103893.00","500001.00"
"103894.00","500001.00"
"103942.00","500001.00"
"103953.00","500001.00"
"103979.00","500001.00"
"103983.00","500001.00"
"104277.00","500001.00"
"104286.00","500001.00"
"104399.00","500001.00"
"104415.00","453800.00"
"104498.00","386100.00"
"104519.00","500001.00"
"104549.00","500001.00"
"104760.00","500001.00"
"104835.00","498600.00"
"104900.00","500001.00"
"105045.00","500001.00"
"105142.00","500001.00"
"105144.00","345900.00"
"105424.00","500001.00"
"105511.00","483100.00"
"105536.00","500001.00"
"105575.00","500001.00"
"105793.00","500001.00"
"105815.00","500001.00"
"105860.00","500001.00"
"105941.00","245800.00"
"105981.00","460100.00"
"106186.00","429300.00"
"106272.00","500001.00"
"106349.00","500001.00"
"106514.00","500001.00"
"106605.00","500001.00"
"106750.00","500001.00"
"106767.00","500001.00"
"106796.00","500001.00"
"106834.00","500001.00"
"106868.00","500001.00"
"107058.00","500001.00"
"107097.00","500001.00"
"107237.00","500001.00"
"107309.00","500001.00"
"107326.00","500001.00"
"107339.00","500001.00"
"107355.00","500001.00"
"107372.00","500001.00"
"107397.00","500001.00"
"107569.00","500001.00"
"107582.00","500001.00"
"107721.00","500001.00"
"107751.00","500001.00"
"107937.00","500001.00"
"107958.00","500001.00"
"108034.00","500001.00"
"108045.00","500001.00"
"108082.00","500001.00"
"108111.00","500001.00"
"108289.00","500001.00"
"108634.00","381800.00"
"108758.00","500001.00"
"108783.00","500001.00"
"108805.00","500001.00"
"108980.00","500001.00"
"109052.00","500001.00"
"109201.00","500001.00"
"109237.00","500001.00"
"109405.00","500001.00"
"109506.00","475800.00"
"109508.00","500001.00"
"109529.00","500001.00"
"109590.00","500001.00"
"109601.00","500001.00"
"109704.00","483300.00"
"109722.00","500001.00"
"109805.00","500001.00"
"109891.00","312500.00"
"110124.00","500001.00"
"110138.00","442100.00"
"110492.00","500001.00"
"110546.00","487200.00"
"110567.00","495400.00"
"110750.00","500001.00"
"110911.00","500001.00"
"111077.00","500001.00"
"111118.00","500001.00"
"111121.00","493000.00"
"111228.00","500001.00"
"111557.00","500001.00"
"111768.00","500001.00"
"111978.00","500001.00"
"112093.00","500001.00"
"112160.00","500001.00"
"112185.00","500001.00"
"112463.00","500001.00"
"112866.00","500001.00"
"112979.00","500001.00"
"113074.00","500001.00"
"113176.00","500001.00"
"113283.00","500001.00"
"113421.00","500001.00"
"114233.00","500001.00"
"114537.00","500001.00"
"115199.00","500001.00"
"115609.00","500001.00"
"115706.00","500001.00"
"116017.00","392600.00"
"116150.00","500001.00"
"116471.00","500001.00"
"116648.00","500001.00"
"116677.00","500001.00"
"116833.00","500001.00"
"117045.00","500001.00"
"117060.00","500001.00"
"117064.00","500001.00"
"117794.00","500001.00"
"117894.00","500001.00"
"118060.00","500001.00"
"118442.00","500001.00"
"118603.00","500001.00"
"119666.00","500001.00"
"119993.00","500001.00"
"120088.00","500001.00"
"120372.00","500001.00"
"120933.00","500001.00"
"121387.00","500001.00"
"121579.00","500001.00"
"122092.00","500001.00"
"122138.00","500001.00"
"122145.00","500001.00"
"122478.00","500001.00"
"122547.00","500001.00"
"123292.00","416700.00"
"123411.00","500001.00"
"123670.00","500001.00"
"123767.00","500001.00"
"123804.00","500001.00"
"124237.00","500001.00"
"124291.00","500001.00"
"124429.00","500001.00"
"125000.00","281000.00"
"125381.00","112500.00"
"125420.00","500001.00"
"125902.00","500001.00"
"125915.00","432400.00"
"126320.00","500001.00"
"126417.00","500001.00"
"127296.00","500001.00"
"127823.00","500001.00"
"128483.00","500001.00"
"128665.00","500001.00"
"128763.00","500001.00"
"128879.00","500001.00"
"129591.00","500001.00"
"129758.00","500001.00"
"129792.00","500001.00"
"130502.00","500001.00"
"131107.00","467600.00"
"131477.00","487000.00"
"131499.00","500001.00"
"131738.00","500001.00"
"131867.00","500001.00"
"132935.00","500001.00"
"132949.00","500001.00"
"132986.00","500001.00"
"133036.00","500001.00"
"133670.00","500001.00"
"133913.00","500001.00"
"134196.00","500001.00"
"134660.00","500001.00"
"134883.00","500001.00"
"134990.00","500001.00"
"135728.00","500001.00"
"136623.00","500001.00"
"136842.00","500001.00"
"138093.00","500001.00"
"138556.00","500001.00"
"139470.00","500001.00"
"142867.00","500001.00"
"142959.00","500001.00"
"144113.00","500001.00"
"144219.00","500001.00"
"145833.00","500001.00"
"149009.00","500001.00"
"150000.00","500001.00"
"150001.00","350000.00"
